Gene1,Gene2,Score
WBGene00000001,WBGene00000090,0.31715063280850153
WBGene00000001,WBGene00000898,0.1326978797382255
WBGene00000001,WBGene00004774,0.21319394708373232
WBGene00000001,WBGene00004829,0.08529516524635485
WBGene00000001,WBGene00002335,0.10367657203520193
WBGene00000001,WBGene00004860,0.20314325582163748
WBGene00000001,WBGene00001184,0
WBGene00000001,WBGene00002163,0.15585037814234062
WBGene00000001,WBGene00004740,0
WBGene00000001,WBGene00004310,0.00982535989465946
WBGene00000001,WBGene00003030,0.43381163051873317
WBGene00000001,WBGene00001979,0.057063920399675346
WBGene00000001,WBGene00000229,0.08248316613311117
WBGene00000001,WBGene00001196,0.14869021265277113
WBGene00000001,WBGene00000897,0.27619562126198466
WBGene00000001,WBGene00006868,0.18137071294269602
WBGene00000001,WBGene00018788,0.039789227728619266
WBGene00000001,WBGene00003912,0.13618457576906315
WBGene00000001,WBGene00004928,0.18512483942247446
WBGene00000001,WBGene00004214,0.12113319241297743
WBGene00000001,WBGene00000018,0.19156804449539866
WBGene00000001,WBGene00002213,0.17551297399221458
WBGene00000001,WBGene00012203,0.07757190938140618
WBGene00000001,WBGene00000416,0.04763048603430345
WBGene00000001,WBGene00000566,0.37725785779224275
WBGene00000001,WBGene00006727,0.292155832655021
WBGene00000001,WBGene00006887,0.029737874404808854
WBGene00000001,WBGene00004414,0.18726914737393327
WBGene00000001,WBGene00005077,0.012317286471735992
WBGene00000001,WBGene00017039,0
WBGene00000001,WBGene00003393,0.042332333678536706
WBGene00000001,WBGene00004000,0.24994133099494426
WBGene00000001,WBGene00001333,0.3921979087026893
WBGene00000001,WBGene00006636,0.23250420399970773
WBGene00000001,WBGene00006957,0.11905172678322837
WBGene00000001,WBGene00003175,0.11080187306919931
WBGene00000001,WBGene00000074,0.1186014819309814
WBGene00000001,WBGene00006808,0.12377544216849773
WBGene00000001,WBGene00002583,0.11650366956851776
WBGene00000001,WBGene00004913,0.3124879833485465
WBGene00000001,WBGene00000900,0.08628695966891678
WBGene00000001,WBGene00000857,0.263144834357636
WBGene00000001,WBGene00003931,0.2212257688327221
WBGene00000001,WBGene00003965,0.1554172505986243
WBGene00000001,WBGene00001502,0.3065513474870506
WBGene00000001,WBGene00004858,0.25074316809265923
WBGene00000001,WBGene00003920,0.1905377875522505
WBGene00000001,WBGene00000102,0.32868236146286123
WBGene00000001,WBGene00000103,0.22278463332937976
WBGene00000001,WBGene00012929,0.07636906482277277
WBGene00000001,WBGene00013111,0.11839411657923214
WBGene00000001,WBGene00006352,0.006959591570448557
WBGene00000001,WBGene00006870,0
WBGene00000001,WBGene00000870,0.2793177391493396
WBGene00000001,WBGene00003930,0.2514745118957598
WBGene00000001,WBGene00004055,0.1162877056862803
WBGene00000001,WBGene00004033,0.1493610852839826
WBGene00000001,WBGene00003401,0.33839686430093396
WBGene00000001,WBGene00004032,0.08615542750433923
WBGene00000001,WBGene00000390,0.27310705564740845
WBGene00000001,WBGene00002203,0.3354150698012687
WBGene00000001,WBGene00001648,0.04505054506300146
WBGene00000001,WBGene00001328,0.24994133099494426
WBGene00000001,WBGene00000289,0.16490747476645978
WBGene00000001,WBGene00000195,0.12095502260598462
WBGene00000001,WBGene00004270,0.06292402549709879
WBGene00000001,WBGene00004208,0.03892874470105949
WBGene00000001,WBGene00004210,0.06891147575673463
WBGene00000001,WBGene00006405,0.014277139449511015
WBGene00000001,WBGene00001745,0
WBGene00000001,WBGene00012348,0.2742030829858858
WBGene00000001,WBGene00002025,0.13529175966560197
WBGene00000001,WBGene00000478,0.14550443778871106
WBGene00000001,WBGene00002245,0.12401033383768176
