Gene1,Gene2,Score
WBGene00000001,WBGene00000090,0.11513041756326792
WBGene00000001,WBGene00000898,0.11039588380083612
WBGene00000001,WBGene00004774,0.23537410314192714
WBGene00000001,WBGene00004829,0.2946983424554645
WBGene00000001,WBGene00002335,0.09245507308670534
WBGene00000001,WBGene00004860,0.49337650012306294
WBGene00000001,WBGene00001184,0.1583266701995332
WBGene00000001,WBGene00002163,0.05092501444638784
WBGene00000001,WBGene00004740,0.31170091696914126
WBGene00000001,WBGene00004310,0.038253936992110535
WBGene00000001,WBGene00003030,0.03401369120224933
WBGene00000001,WBGene00001979,0.301277938698058
WBGene00000001,WBGene00000229,0.27134887745318687
WBGene00000001,WBGene00001196,0.0329537831916451
WBGene00000001,WBGene00000897,0.2821573698070644
WBGene00000001,WBGene00006868,0.251933381300159
WBGene00000001,WBGene00018788,0.2636936280139201
WBGene00000001,WBGene00003912,0.2936337218548438
WBGene00000001,WBGene00004928,0.5216316501499262
WBGene00000001,WBGene00004214,0.2745397831402201
WBGene00000001,WBGene00000018,0.03156797912195488
WBGene00000001,WBGene00002213,0.012188821451322636
WBGene00000001,WBGene00012203,0.21170720316797842
WBGene00000001,WBGene00000416,-2
WBGene00000001,WBGene00000566,0.5579293951384021
WBGene00000001,WBGene00006727,-2
WBGene00000001,WBGene00006887,0.036763139129220954
WBGene00000001,WBGene00004414,0.19945301386206243
WBGene00000001,WBGene00005077,0.1773546564498842
WBGene00000001,WBGene00017039,0.26661362290533586
WBGene00000001,WBGene00003393,0.06272236065755757
WBGene00000001,WBGene00004000,-2
WBGene00000001,WBGene00001333,0.0576523006927268
WBGene00000001,WBGene00006636,0.2859117597905557
WBGene00000001,WBGene00006957,0.36689008312989024
WBGene00000001,WBGene00003175,0.012252426947470647
WBGene00000001,WBGene00000074,0.15617612157383398
WBGene00000001,WBGene00006808,0.4852919387858072
WBGene00000001,WBGene00002583,0.14546377462842547
WBGene00000001,WBGene00004913,0.4345983919293571
WBGene00000001,WBGene00000900,0.5027367482699129
WBGene00000001,WBGene00000857,0.1668732966943781
WBGene00000001,WBGene00003931,0.08202231505046594
WBGene00000001,WBGene00003965,0.03591850546602696
WBGene00000001,WBGene00001502,0.36151439458073503
WBGene00000001,WBGene00004858,0.09736141084022219
WBGene00000001,WBGene00003920,0.25926855398648624
WBGene00000001,WBGene00000102,0.02306564980680097
WBGene00000001,WBGene00000103,0.1397181365360235
WBGene00000001,WBGene00012929,0.4862433703818744
WBGene00000001,WBGene00013111,0.4527716879504118
